uid,datetime,lat,lon,cohort,length,active,season
150.38_1,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,205,1,Spring
150.38_10,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,186,1,Spring
150.38_13,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,175,1,Spring
150.38_14,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,174,1,Spring
150.38_16,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,182,1,Spring
150.38_18,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,178,1,Spring
150.38_21,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,189,1,Spring
150.38_24,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,184,1,Spring
150.38_26,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,189,1,Spring
150.38_28,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,194,1,Spring
150.38_29,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,206,1,Spring
150.38_3,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,209,1,Spring
150.38_30,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,195,1,Spring
150.38_31,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,204,1,Spring
150.38_32,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,196,1,Spring
150.38_33,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,241,1,Spring
150.38_34,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,210,1,Spring
150.38_36,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,194,1,Spring
150.38_39,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,230,1,Spring
150.38_4,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,200,1,Spring
150.38_41,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,211,1,Spring
150.38_44,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,215,1,Spring
150.38_45,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,205,1,Spring
150.38_46,2018-04-18T17:00:00Z,42.493938,-121.93662,TNC,244,1,Spring
