"uid","releaseLocation","totalLength","datetime","lat","long","active"
"150.38_1","TNC",205,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_1","TNC",205,2018-06-28 09:21:59,42.4940631,-121.9316847,1
"150.38_1","TNC",205,2018-08-28 11:36:51,42.4899431,-122.0258833,1
"150.38_1","TNC",205,2018-09-11 11:40:34,42.4889264,-122.0181533,1
"150.38_10","TNC",186,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_100","Rocky Point",191,2018-04-19 17:00:00,42.47781,-122.087166,1
"150.38_11","Shoalwater Bay",182,2018-04-22 17:00:00,42.392267,-121.957114,1
"150.38_11","Shoalwater Bay",182,2018-04-24 12:32:06,42.4045164,-121.9542664,1
"150.38_11","Shoalwater Bay",182,2018-05-01 10:54:31,42.3975031,-121.9537597,1
"150.38_12","Shoalwater Bay",179,2018-04-22 17:00:00,42.392267,-121.957114,1
"150.38_13","TNC",175,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_14","TNC",174,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_15","Shoalwater Bay",191,2018-04-22 17:00:00,42.392267,-121.957114,1
"150.38_15","Shoalwater Bay",191,2018-05-15 10:25:54,42.1860183,-121.7658317,1
"150.38_15","Shoalwater Bay",191,2018-09-25 11:39:48,42.235185,-121.8152567,1
"150.38_16","TNC",182,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_16","TNC",182,2018-04-24 09:41:11,42.4633931,-121.96064,1
"150.38_18","TNC",178,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_18","TNC",178,2018-05-31 08:05:21,42.2441467,-121.8164297,1
"150.38_18","TNC",178,2018-06-12 09:16:19,42.47919,-122.0854781,0
"150.38_18","TNC",178,2018-09-27 12:55:05,42.4625247,-122.0777433,0
"150.38_19","Shoalwater Bay",199,2018-04-22 17:00:00,42.392267,-121.957114,1
"150.38_2","Rocky Point",211,2018-04-19 17:00:00,42.47781,-122.087166,1
"150.38_2","Rocky Point",211,2018-04-24 15:25:47,42.4336497,-122.0472164,1
"150.38_2","Rocky Point",211,2018-05-15 11:29:58,42.3907333,-121.9716017,1
"150.38_2","Rocky Point",211,2018-06-28 15:10:00,42.2697297,-121.8501283,1
"150.38_21","TNC",189,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_21","TNC",189,2018-04-24 10:53:08,42.4872797,-121.9432064,1
"150.38_21","TNC",189,2018-04-26 12:27:17,42.4849867,-121.9459683,0
"150.38_21","TNC",189,2018-05-03 14:28:06,42.4867464,-121.9444083,0
"150.38_21","TNC",189,2018-05-08 11:47:26,42.4864631,-121.9447233,0
"150.38_21","TNC",189,2018-05-15 11:16:00,42.4866164,-121.9444033,0
"150.38_21","TNC",189,2018-05-22 12:37:24,42.4834331,-121.9452314,0
"150.38_21","TNC",189,2018-05-24 09:07:00,42.486525,-121.9446431,0
"150.38_21","TNC",189,2018-05-31 13:47:19,42.4866167,-121.9444383,0
"150.38_21","TNC",189,2018-06-07 14:14:47,42.48647,-121.9444,0
"150.38_21","TNC",189,2018-06-12 14:05:44,42.4867367,-121.9443847,0
"150.38_21","TNC",189,2018-06-14 10:00:02,42.4865583,-121.9442867,0
"150.38_21","TNC",189,2018-06-19 12:15:53,42.4841983,-121.9437647,0
"150.38_21","TNC",189,2018-06-21 09:48:54,42.4866347,-121.9443531,0
"150.38_21","TNC",189,2018-06-26 09:47:20,42.4864231,-121.9442081,0
"150.38_21","TNC",189,2018-06-28 09:17:46,42.4864797,-121.9440897,0
"150.38_21","TNC",189,2018-07-03 09:35:00,42.4864881,-121.9446033,0
"150.38_21","TNC",189,2018-07-05 12:12:33,42.483995,-121.9463183,0
"150.38_21","TNC",189,2018-07-10 09:18:16,42.4871217,-121.9436264,0
"150.38_21","TNC",189,2018-07-12 09:34:24,42.4868281,-121.9440133,0
"150.38_21","TNC",189,2018-07-17 12:42:45,42.4836397,-121.9466833,0
"150.38_21","TNC",189,2018-07-19 09:10:15,42.4863714,-121.94452,0
"150.38_21","TNC",189,2018-07-24 09:32:29,42.4868264,-121.9439931,0
"150.38_21","TNC",189,2018-07-26 09:33:31,42.4869797,-121.9438467,0
"150.38_21","TNC",189,2018-07-31 09:12:45,42.4867081,-121.9442667,0
"150.38_21","TNC",189,2018-08-02 09:27:41,42.4864181,-121.9445897,0
"150.38_21","TNC",189,2018-08-09 11:59:53,42.4870083,-121.9436931,0
"150.38_21","TNC",189,2018-08-21 09:26:41,42.4865783,-121.9442264,0
"150.38_21","TNC",189,2018-08-23 09:32:01,42.48695,-121.9439282,0
"150.38_21","TNC",189,2018-08-28 12:42:24,42.4833183,-121.9459533,0
"150.38_21","TNC",189,2018-08-30 09:06:31,42.4867033,-121.9441214,0
"150.38_21","TNC",189,2018-09-04 09:47:16,42.4869883,-121.9437117,0
"150.38_21","TNC",189,2018-09-11 12:14:42,42.4853633,-121.9458997,0
"150.38_21","TNC",189,2018-09-18 09:19:38,42.4870497,-121.9437564,0
"150.38_21","TNC",189,2018-09-27 12:16:51,42.4861867,-121.9463083,0
"150.38_21","TNC",189,2018-10-02 09:07:07,42.4868014,-121.9438967,0
"150.38_21","TNC",189,2018-10-11 10:16:31,42.4864214,-121.9443617,0
"150.38_21","TNC",189,2018-10-18 10:04:19,42.4868031,-121.9441731,0
"150.38_22","Shoalwater Bay",195,2018-04-22 17:00:00,42.392267,-121.957114,1
"150.38_22","Shoalwater Bay",195,2018-04-24 12:37:25,42.3985531,-121.9545517,1
"150.38_22","Shoalwater Bay",195,2018-05-01 09:21:07,42.4015397,-121.9736331,1
"150.38_22","Shoalwater Bay",195,2018-05-08 15:00:22,42.4178181,-122.0380783,1
"150.38_22","Shoalwater Bay",195,2018-05-15 11:37:27,42.39809,-122.01506,1
"150.38_22","Shoalwater Bay",195,2018-05-17 12:52:06,42.414345,-122.0368581,1
"150.38_22","Shoalwater Bay",195,2018-05-29 08:18:42,42.4108283,-122.0357117,1
"150.38_22","Shoalwater Bay",195,2018-06-07 10:10:39,42.34372,-121.9297047,1
"150.38_22","Shoalwater Bay",195,2018-06-12 14:06:19,42.48481585,-121.94661915,1
"150.38_22","Shoalwater Bay",195,2018-06-19 12:16:06,42.48829,-121.9491981,1
"150.38_22","Shoalwater Bay",195,2018-06-26 09:45:52,42.4865356,-121.94492305,1
"150.38_22","Shoalwater Bay",195,2018-06-28 09:18:12,42.4878547,-121.9432281,1
"150.38_22","Shoalwater Bay",195,2018-07-03 09:35:44,42.4857064,-121.9454964,1
"150.38_22","Shoalwater Bay",195,2018-07-05 12:12:42,42.48629,-121.9502381,1
"150.38_22","Shoalwater Bay",195,2018-07-12 10:40:10,42.5107947,-121.9565964,1
"150.38_22","Shoalwater Bay",195,2018-07-17 12:47:37,42.5083764,-121.9607417,1
"150.38_22","Shoalwater Bay",195,2018-07-19 10:19:20,42.5215714,-121.9381817,1
"150.38_23","Shoalwater Bay",196,2018-04-22 17:00:00,42.392267,-121.957114,1
"150.38_23","Shoalwater Bay",196,2018-04-24 14:34:08,42.4179464,-121.9964217,1
"150.38_24","TNC",184,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_25","Shoalwater Bay",181,2018-04-22 17:00:00,42.392267,-121.957114,1
"150.38_25","Shoalwater Bay",181,2018-04-24 14:00:02,42.4042631,-121.9735657,1
"150.38_26","TNC",189,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_27","Shoalwater Bay",186,2018-04-22 17:00:00,42.392267,-121.957114,1
"150.38_27","Shoalwater Bay",186,2018-04-24 12:48:02,42.3955397,-121.9612433,1
"150.38_27","Shoalwater Bay",186,2018-05-01 14:20:33,42.3903383,-121.96102,1
"150.38_28","TNC",194,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_29","TNC",206,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_29","TNC",206,2018-05-03 12:32:23,42.4573114,-121.9019931,1
"150.38_29","TNC",206,2018-05-15 09:06:17,42.4545447,-121.9012781,1
"150.38_29","TNC",206,2018-05-22 13:03:22,42.4667497,-121.8909983,1
"150.38_29","TNC",206,2018-05-29 13:55:09,42.305855,-121.9366383,1
"150.38_29","TNC",206,2018-06-07 09:32:07,42.3274881,-121.93305,1
"150.38_29","TNC",206,2018-06-19 09:26:34,42.4875981,-121.94345,1
"150.38_3","TNC",209,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_3","TNC",209,2018-04-24 10:50:19,42.4907314,-121.9419514,0
"150.38_3","TNC",209,2018-05-03 13:43:57,42.4907731,-121.9419017,0
"150.38_3","TNC",209,2018-05-08 12:12:49,42.4912664,-121.9414367,0
"150.38_3","TNC",209,2018-05-15 11:12:37,42.4910064,-121.941795,0
"150.38_3","TNC",209,2018-05-24 08:46:41,42.490425,-121.942605,0
"150.38_3","TNC",209,2018-05-31 13:17:06,42.4908117,-121.9420517,0
"150.38_3","TNC",209,2018-06-07 14:01:25,42.4908583,-121.9420817,0
"150.38_3","TNC",209,2018-06-12 13:54:13,42.4903917,-121.94256,0
"150.38_3","TNC",209,2018-06-14 09:45:57,42.49053,-121.9424067,0
"150.38_3","TNC",209,2018-06-19 09:27:29,42.4904497,-121.9424933,0
"150.38_3","TNC",209,2018-06-21 09:47:50,42.4917397,-121.9410447,0
"150.38_3","TNC",209,2018-06-26 10:05:03,42.4912114,-121.9419867,0
"150.38_3","TNC",209,2018-06-28 09:31:33,42.4907597,-121.9423817,0
"150.38_3","TNC",209,2018-07-03 09:20:05,42.4911064,-121.941525,0
"150.38_3","TNC",209,2018-07-05 09:37:01,42.4912014,-121.9417264,0
"150.38_3","TNC",209,2018-07-10 09:34:53,42.491125,-121.9417883,0
"150.38_3","TNC",209,2018-07-12 09:38:14,42.4913147,-121.9413333,0
"150.38_3","TNC",209,2018-07-17 09:56:16,42.4908314,-121.9421683,0
"150.38_3","TNC",209,2018-07-19 09:24:02,42.4909747,-121.9419047,0
"150.38_3","TNC",209,2018-07-24 09:34:14,42.4909931,-121.9418583,0
"150.38_3","TNC",209,2018-07-26 09:35:54,42.4908797,-121.9418133,0
"150.38_3","TNC",209,2018-07-31 09:14:46,42.4910347,-121.9420883,0
"150.38_3","TNC",209,2018-08-02 09:28:52,42.4910831,-121.9418281,0
"150.38_3","TNC",209,2018-08-09 12:04:16,42.4909383,-121.9418631,0
"150.38_3","TNC",209,2018-08-21 09:34:26,42.4907283,-121.9419481,0
"150.38_3","TNC",209,2018-08-23 09:49:32,42.4909883,-121.9420417,0
"150.38_3","TNC",209,2018-08-28 09:25:00,42.4909764,-121.942015,0
"150.38_3","TNC",209,2018-08-30 09:40:26,42.491055,-121.941905,0
"150.38_3","TNC",209,2018-09-04 09:48:54,42.4909533,-121.9418483,0
"150.38_30","TNC",195,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_31","TNC",204,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_32","TNC",196,2018-04-18 17:00:00,42.493938,-121.93662,1
"150.38_32","TNC",196,2018-04-24 10:19:32,42.4940797,-121.93368,1
"150.38_32","TNC",196,2018-05-03 13:50:40,42.4939997,-121.9331481,0
"150.38_32","TNC",196,2018-05-08 12:11:40,42.4940797,-121.9319867,0
"150.38_32","TNC",196,2018-05-15 10:20:54,42.4941147,-121.9329983,0
"150.38_32","TNC",196,2018-05-24 08:52:48,42.4941642,-121.9321082,0
"150.38_32","TNC",196,2018-05-31 13:39:20,42.4941967,-121.9312233,0
"150.38_32","TNC",196,2018-06-07 14:12:44,42.494205,-121.9320667,0
"150.38_32","TNC",196,2018-06-12 14:03:29,42.4941917,-121.9318731,0
